Disease Name,Type,Category,Overview,Causes,Specialist,Treatment/ Home Remedies,,,,,,,,,,,,,,,,,,
Acute Respiratory Distress Syndrome (ARDS),Acute pulmonary failure,Non-Communicable,"ARDS is a life-threatening lung condition in which fluid leaks into the air sacs (alveoli) of the lungs, severely impairing gas exchange, leading to very low oxygen levels in the blood.","Severe lung infections, pneumonia, sepsis, inhaling harmful substances, multiple blood transfusions, chest injury, pancreatitis, breathing foreign material into the lungs, near-drowning, older age, chronic lung disease, alcohol misuse, smoking",Pulmonologist,"Treatment of ARDS is to maintain oxygenation and allow the lungs to heal. Supplemental oxygen is provided, and most patients need mechanical ventilation with strategies that protect the lungs. Prone positioning is used to improve oxygenation. Fluids are managed carefully to avoid worsening lung fluid accumulation while maintaining organ perfusion. Medications are used to treat underlying causes, to reduce inflammation, to prevent or treat complications, and sedatives may be used to ensure comfort and ventilator synchrony. In very severe cases where ventilation is insufficient, extracorporeal membrane oxygenation (ECMO) may be considered. It is essential to consult Intensivists or pulmonologists.",,,,,,,,,,,,,,,,,,
Parkinson's Disease,chronic neurodegenerative disorder,Non-Communicable,"Parkinson’s Disease is a progressive disorder of the nervous system in which nerve cells in the brain gradually degenerate, leading to both motor control problems and a variety of non-motor symptoms.","Genetic mutations, Accumulation of misfolded proteins, mitochondrial dysfunction, oxidative stress, environmental exposures.",Neurologist,"Treatment of Parkinson’s Disease aims at alleviating symptoms, improving quality of life, maintaining mobility and function, managing complications, and slowing decline where possible. Medications are the mainstay. Other drug classes used include dopamine agonists, MAO-B inhibitors, COMT inhibitors and sometimes other adjuncts, to reduce fluctuations or side effects of levodopa. As the disease progresses, advanced therapies such as deep brain stimulation (DBS) or focused ultrasound may be considered to help control tremor, rigidity or dyskinesias. Non-pharmacological therapies are also important. Regular follow-up with neurologists is essential to tailor treatments, adjust doses, manage side effects.",,,,,,,,,,,,,,,,,,
Epilepsy,chronic neurological disorder,Non-Communicable,"Epilepsy is a long-term brain condition involving abnormal electrical activity in the brain that leads to recurrent, unprovoked seizures; it affects brain structure/function, awareness, sensation, behavior and muscle control.","Genetic factors, structural brain abnormalities from birth, head injury, Head trauma, brain infections, stroke, tumors, metabolic imbalances, chemical imbalances, prenatal injury, developmental disorders, immune-mediated causes, lack of sleep, stress, alcohol use, drug use, dehydration.",Neurologist,"Treatment of epilepsy involves diagnosis of the seizure type and underlying cause. Thereafter anti-seizure medications are the first line treatment. If medications do not provide sufficient control, other options include epilepsy surgery, neurostimulation devices, and dietary therapies. Lifestyle modifications also play a role. Regular follow-up with a neurologist or epilepsy specialist is essential to adjust treatments, monitor side effects, and evaluate whether medications can be tapered or if advanced therapies are needed.",,,,,,,,,,,,,,,,,,
Cholera,"Infectious Disease(Bacterial, Waterborne)",Communicable,Cholera is an acute diarrheal infection caused by ingestion of food or water contaminated with Vibrio cholerae bacteria. It can cause deadly dehydration within hours if untreated and is most common where sanitation is poor.,"Consumption of food or water contaminated with Vibrio cholerae, primary risk factors include poor sanitation, unsafe water, contaminated seafood, and lack of hygiene",Infectious Disease Specialist,"Immediate oral rehydration solution (ORS) for mild cases, Severe cases require intravenous fluids and sometimes antibiotics, Consult a doctor urgently if dehydration symptoms or severe diarrhea occur.",,,,,,,,,,,,,,,,,,
Hansen's Disease (Leprosy),Chronic infectious(Bacterial),Communicable,"A chronic disease caused by Mycobacterium leprae affecting skin, nerves, eyes, and mucosa, long incubation, but curable","Prolonged close contact with droplets from untreated patients, bacteria Mycobacterium leprae and M. lepromatosis.",Dermatologist,"Multi-drug antibiotics for 1-2 years, Early treatment prevents complications, Severe cases should always consult a doctor",,,,,,,,,,,,,,,,,,
Tetanus,Acute infectious(Bacterial),Communicable,"A serious disorder caused by Clostridium tetani toxins, affecting the nervous system, leading to intense muscle spasms and rigidity.","Entry of C. tetani spores via wounds, burns, or injuries, spores are widespread in soil",Infectious Disease Specialist,"Hospital care is crucial. Emergency support, antitoxin therapy, antibiotics, wound cleaning, muscle relaxants. Severe symptoms always require immediate doctor consultation.",,,,,,,,,,,,,,,,,,
Diphtheria,Acute infectious(Bacterial),Communicable,"A contagious infection from Corynebacterium diphtheriae, may block airways and damage major organs via toxin.",Transmission via droplets from coughing/sneezing or contaminated objects.,Infectious Disease Specialist,"Antitoxin and antibiotics,Airway management needed for severe cases, Isolate patient and seek hospital care for breathing issues, Consult doctor immediately for severe symptoms.",,,,,,,,,,,,,,,,,,
Whooping Cough (Pertussis),"Acute infectious(Bacterial, Respiratory)",Communicable,"Highly contagious Bordetella pertussis infection causing violent coughing spells lasting weeks, especially dangerous for infants.",Spread via respiratory droplets from infected persons.,Pulmonologist,"Antibiotics ,Supportive care, Severe persistent coughing or symptoms in infants require urgent doctor evaluation",,,,,,,,,,,,,,,,,,
Streptococcal Pharyngitis (Strep Throat),"Acute infectious(Bacterial, Respiratory)",Communicable,"A Streptococcus pyogenes infection of the throat, mainly affecting children.",Contact with respiratory droplets or sharing utensils with infected individuals.,ENT Specialist,"Antibiotics, Pain medications, Severe/prolonged pain, swelling, or breathing difficulty warrants doctor visit",,,,,,,,,,,,,,,,,,
Cellulitis,"Acute infectious(Bacterial, Skin/Soft Tissue)",Communicable,"A spreading skin infection (often lower legs) caused by Streptococcus or Staphylococcus, enters via cuts or wounds","A spreading skin infection (often lower legs) caused by Streptococcus or Staphylococcus, enters via cuts or wounds",Dermatologist,"Antibiotics (oral or IV depending on severity),Elevate affected area, pain medication, warm compress, Urgent doctor consult if systemic symptoms or rapid spread",,,,,,,,,,,,,,,,,,
Abscesses,"Acute infectious(Bacterial, Skin/Soft Tissue)",Communicable,"A pocket of pus due to bacterial infection, can form anywhere in the body—skin, mouth, organs.",Bacterial invasion (often Staphylococcus or Streptococcus) through wounds or hair follicles.,General Surgeon,"Small abscesses: warm compresses, Larger or deep abscesses: drainage and antibiotics, Abscesses larger than 1 cm, facial, or with systemic symptoms need urgent doctor evaluation",,,,,,,,,,,,,,,,,,
Leptospirosis,"Acute infectious(Bacterial, Zoonotic)",Communicable,"A waterborne/animal-borne spirochete infection (Leptospira), can be mild or severe, sometimes causing kidney/liver complications.","Contact with water/soil/food contaminated with urine from infected animals (rats, livestock, dogs)",Infectious Disease Specialist,"Antibiotics, IV fluids and supportive care, Severe liver/kidney signs always require immediate hospital/doctor care",,,,,,,,,,,,,,,,,,
Salmonellosis (non-typhoidal),"Acute infectious(Bacterial, Foodborne)",Communicable,"An intestinal infection from Salmonella species, usually self-limiting but can be severe in vulnerable groups","Eating contaminated food (eggs, poultry, dairy), poor hygiene, contact with infected animals or reptiles.",Infectious Disease Specialist,"Supportive care (fluids, rest, antipyretics), Antibiotics only for severe or high-risk cases (infants, elderly, immunocompromised), Continuous vomiting, high fever, or bloody diarrhea should prompt doctor consultation",,,,,,,,,,,,,,,,,,
Shigellosis,"Acute infectious(Bacterial, Food/Waterborne)",Communicable,"An acute colon infection from Shigella species, causing dysentery and dehydration","Contaminated food/water, poor sanitation, person-to-person contact.",Infectious Disease Specialist,"Supportive (fluids, rest), antibiotics (ciprofloxacin, azithromycin) in severe cases or high-risk patients, Severe diarrhea, dehydration, or neurological symptoms need urgent doctor evaluation",,,,,,,,,,,,,,,,,,
Brucellosis,"Chronic infectious(Bacterial, Zoonotic)",Communicable,"A slow-onset disease from Brucella species, usually from animals or dairy products, can last weeks to years","Contact with or consumption of infected animal products (unpasteurized milk/cheese, direct animal contact)",Infectious Disease Specialist,"Combination antibiotics Prolonged course, Chronic or severe cases, especially with joint/heart/organ involvement, require full evaluation by a doctor",,,,,,,,,,,,,,,,,,
Listeriosis,"Acute Chronic infectious(Bacterial, Foodborne)",Communicable,"A serious infection from Listeria monocytogenes, mainly affecting pregnant women, newborns, elderly, and immunocompromised, can cause sepsis or meningitis.","Consumption of contaminated food (e.g. unpasteurized dairy, deli meat), Listeria monocytogenes bacteria",Dermatologist,"Antibiotics for treatment are commonly used, Urgent medical attention needed for invasive disease, pregnant women, infants, and immunocompromised patients—always consult a doctor for severe symptoms",,,,,,,,,,,,,,,,,,
Gonorrhea,"Acute Infectious(Bacterial, (STI) Sexually Transmitted Infection)",Communicable,"A very common sexually transmitted infection caused by Neisseria gonorrhoeae, can involve genitals, rectum, throat, or eyes","Unprotected sexual contact (vaginal, anal, oral), vertical transmission at birth.",Dermatologist,"Treated with antibiotics, Complete prescribed course and sexual partners must also be treated, Always consult a doctor for persistent symptoms or complications",,,,,,,,,,,,,,,,,,
Syphilis,"Acute Chronic Infectious(Bacterial, (STI) Sexually Transmitted Infection)",Communicable,"A multi-stage bacterial infection by Treponema pallidum, spread primarily by sexual contact, can lead to serious long-term organ damage if untreated.","Sexual contact, vertical transmission during pregnancy, rarely blood transfusion",Dermatologist,"Antibiotics and infections used in medication,Immediate doctor consultation needed for new symptoms or if exposed to syphilis",,,,,,,,,,,,,,,,,,
Chlamydia,"Acute Infectious(Bacterial, (STI) Sexually Transmitted Infection)",Communicable,"A common bacterial STI caused by Chlamydia trachomatis, often asymptomatic but can cause serious reproductive complications if untreated","Unprotected sexual contact (vaginal, anal, oral), vertical transmission at birth.",Gynecologist,"Antibiotic treatment, Complete treatment course and avoid sex until cleared, Sexual partners should be treated too, Consult a doctor if symptoms or partner diagnosed",,,,,,,,,,,,,,,,,,
H. Pylori infection,"Chronic Infection(Bacterial, Digestive)",Communicable,"A common bacterial infection in the stomach lining caused by Helicobacter pylori, can lead to ulcers and stomach cancer.","Transmission via contaminated food, water, or close contact, poor hygiene risks.",Gastroenterologist,Combination antibiotic therapy with proton pump inhibitors. Consult a doctor for persistent or severe symptoms.,,,,,,,,,,,,,,,,,,
Sepsis,"Acute Life-threatening Condition(Bacterial or other pathogens, systemic infection)",Communicable,A life-threatening organ dysfunction caused by a dysregulated immune response to infection.,"Bacterial infections are usual cause, including pneumonia, urinary tract infection, abdominal infections, wounds.",Critical Care Specialist,"Hospital treatment with IV antibiotics, fluids, oxygen, monitor organ function, Urgently consult a doctor if sepsis suspected",,,,,,,,,,,,,,,,,,
Puerperal Sepsis,"Postpartum Infection(Bacterial, Genital Tract Infection)",Communicable,"Infection of the genital tract occurring after childbirth, often leading to severe complications.","Bacteria entering reproductive tract after delivery, especially in unsanitary conditions.",Gynecologist,"Broad-spectrum IV antibiotics, supportive care, possible surgery, Doctor consultation essential immediately after symptom onset",,,,,,,,,,,,,,,,,,
Rickettsial Diseases (Scrub Typhus),"Acute Infectious(Bacterial, Vector-borne)",Communicable,Infection caused by Orientia tsutsugamushi via infected mite bites. Presents with febrile illness and characteristic eschar,Transmission via chigger (mite) bites in endemic rural areas,Infectious Disease Specialist,"Antibiotics early in disease, Always consult doctor in endemic areas with fever and rash",,,,,,,,,,,,,,,,,,
Rheumatic Fever,"Inflammatory Disease(Bacterial, Post-streptococcal autoimmune)",Communicable,"Inflammation following untreated streptococcal throat infection, affecting heart, joints, brain, skin",Immune reaction to Streptococcus pyogenes infection,Cardiologist,"Antibiotics to eradicate streptococcus, anti-inflammatory drugs, long-term follow-up for heart damage. Doctor consultation essential.",,,,,,,,,,,,,,,,,,
Bacterial Vaginosis,"Mild Infection(Bacterial, Vaginal Flora Imbalance)",Communicable,Overgrowth of anaerobic bacteria in the vagina disrupting normal flora balance,"Changes in vaginal flora, sexual activity, douching, antibiotic use",Gynecologist,"Antibiotics as medications, Consult doctor if symptoms persist or recur",,,,,,,,,,,,,,,,,,
Clostridium perfringens infection,"Acute Infection(Bacterial, Foodborne and Wound Infection)",Communicable,Caused by ingestion of contaminated food or wound infection leading to food poisoning or gas gangrene,"Contaminated undercooked foods, injury wounds for severe infections",Infectious Disease Specialist,"Supportive care for mild cases, surgical debridement and antibiotics for severe infections, Consult doctor if symptoms worsen",,,,,,,,,,,,,,,,,,
Bacillus cereus infection,"Acute Infection(Bacterial, Foodborne and Rare Systemic Infection)",Communicable,"Foodborne illness causing diarrheal or emetic symptoms, sometimes causes severe infections like eye infections.","Contaminated rice, cereals, or improperly stored foods",Infectious Disease Specialist,"Supportive care and rehydration for food poisoning, antibiotics in serious systemic infections, Consult doctor if systemic signs appear.",,,,,,,,,,,,,,,,,,
MRSA (Methicillin-resistant Staphylococcus aureus),"Acute or Chronic Infection(Bacterial, Antibiotic-Resistant Staphylococcus)",Communicable,"A strain of Staph aureus resistant to common antibiotics, causing difficult infections in skin or invasive","Contact with infected surfaces or carriers, hospital or community-acquired.",Infectious Disease Specialist,"Antibiotics including vancomycin, linezolid, incision and drainage of abscesses, Hospital care required for severe infections, always consult a doctor.",,,,,,,,,,,,,,,,,,
VRE (Vancomycin-resistant Enterococcus),"Acute or Chronic Infection(Bacterial, Antibiotic-Resistant Enterococcus)",Communicable,"A type of enterococcal bacteria resistant to vancomycin, causing healthcare-associated infections",Transmission via contact with contaminated surfaces or hands in healthcare settings.,Infectious Disease Specialist,"Treatment with combination antibiotics depending on susceptibility, infection control measures essential. Always seek doctor guidance.",,,,,,,,,,,,,,,,,,
Rabies,Viral(Zoonotic),Communicable,"A fatal viral infection transmitted by animal bites (usually dogs, bats), attacking the central nervous system",Transmission through saliva of infected animals via bites or scratches.,Infectious Disease Specialist,"Immediate wound cleaning, post-exposure vaccination, rabies immunoglobulin, Consult a doctor immediately after any potential exposure.",,,,,,,,,,,,,,,,,,
Measles,Viral(Airborne),Communicable,"Highly contagious airborne virus causing rash and respiratory symptoms, mostly in unvaccinated children.",Spread by direct contact with infected droplets from coughs or sneezes,Infectious Disease Specialist,"No specific antiviral, symptom management including fever reducers and hydration, Vaccination prevents disease, Seek doctor advice if severe symptoms or complications",,,,,,,,,,,,,,,,,,
Mumps,Viral,Communicable,"A contagious viral infection causing painful swelling of salivary glands, spread through respiratory droplets.","Spread by coughing, sneezing, or close contact.",Infectious Disease Specialist,"No specific antiviral treatment, Supportive care includes rest, pain relief, and hydration, Isolate to prevent spread and consult a doctor if complications develop",,,,,,,,,,,,,,,,,,
Rubella,Viral(Airborne),Communicable,"A contagious viral infection caused by Rubella virus, mild in children but dangerous in pregnancy causing birth defects (congenital rubella syndrome).",Spread by respiratory droplets from coughs/sneezes of infected persons.,Infectious Disease Specialist,"No specific antiviral treatment, supportive care with rest and fever reducers, Avoid contact with pregnant people, Consult doctor if pregnant or exposed",,,,,,,,,,,,,,,,,,
Varicella (Chickenpox),Viral(Airborne),Communicable,"Contagious infection caused by varicella-zoster virus, mainly affects children and causes blister-like rash","Spread by coughing, sneezing, or direct contact with lesions",Infectious Disease Specialist,"Symptomatic treatment: antihistamines for itching, fever reducers, hydration, Antiviral drugs for severe cases, Consult doctor for severe symptoms or complications",,,,,,,,,,,,,,,,,,
Herpes Simplex,Viral(Contact-Transmitted),Communicable,"Chronic viral infection caused by herpes simplex virus type 1 or 2, recurrent outbreaks common","Direct contact with infected skin or secretions, sexually transmitted (HSV-2)",Dermatologist,"Antiviral medications reduce severity and frequency, Self-care measures for outbreaks, Consult doctor if severe or frequent outbreaks",,,,,,,,,,,,,,,,,,
Hepatitis A,Viral(Food/Waterborne),Communicable,"A liver infection caused by hepatitis A virus, typically spread by ingesting contaminated food or water","Fecal-oral transmission via contaminated food, water, or close contact",Gastroenterologist,"Supportive care, hydration and rest, Preventable by vaccination, Consult doctor for severe symptoms or jaundice",,,,,,,,,,,,,,,,,,
Hepatitis E,Viral(Food/Waterborne),Communicable,"A viral liver infection caused by hepatitis E virus, transmission like hepatitis A via contaminated water","Fecal-oral route via contaminated water or food, common in areas with poor sanitation.",Gastroenterologist,"Supportive care, hydration and rest, Preventable by improved sanitation, Consult doctor if symptoms worsen",,,,,,,,,,,,,,,,,,
COVID-19,Viral(Respiratory),Communicable,"Infectious respiratory disease caused by SARS-CoV-2 virus, ranges from mild to severe illness","Spread via respiratory droplets, aerosols, and contact with contaminated surfaces",Pulmonologist,"Supportive care, oxygen therapy, antivirals, corticosteroids, vaccination to prevent infection and reduce severity, Consult doctor if difficulty breathing or worsening symptoms",,,,,,,,,,,,,,,,,,
Human Papillomavirus (HPV),Viral(Sexually Transmitted),Communicable,"A group of viruses causing warts and cancers, transmitted mostly by sexual contact","Sexual contact, skin-to-skin spread",Gynecologist,"No cure, prevention by vaccination, treatment of warts and precancerous lesions. Regular screening recommended. Consult doctor for abnormal growths",,,,,,,,,,,,,,,,,,
Norovirus,Viral(Foodborne),Communicable,"Highly contagious virus causing acute gastroenteritis, common cause of foodborne outbreaks","Spread via contaminated food, water, surfaces, or person to person",Gastroenterologist,"Supportive care with fluids and electrolyte, Consult doctor for severe dehydration or prolonged illness",,,,,,,,,,,,,,,,,,
Cytomegalovirus (CMV),Viral(Contact and Congenital Transmission),Communicable,A common herpesvirus causing mild infections or severe disease in newborns and immunocompromised persons,"Spread via bodily fluids, congenital transmission from mother to fetus",Infectious Disease Specialist,"No cure, antivirals for severe cases, Regular monitoring for congenital cases, Consult doctor for severe or persistent symptoms",,,,,,,,,,,,,,,,,,
Japanese Encephalitis,Viral(Vector-borne),Communicable,"Mosquito-borne flavivirus causing inflammation of the brain, prevalent in Asia",Transmission via infected mosquito bites,Neurologist,"Supportive care, no specific antiviral treatment, Vaccination available,  Immediately seek medical care if symptoms appear",,,,,,,,,,,,,,,,,,
Kyasanur Forest Disease (Monkey Fever),Viral(Tick-borne),Communicable,Tick-borne viral hemorrhagic fever occurring in South Asia caused by Kyasanur Forest Disease virus,Tick bites and virus exposure in forested areas,Infectious Disease Specialist,"Supportive care only, no specific antiviral, Prevent tick bites, Consult doctor for symptoms",,,,,,,,,,,,,,,,,,
"Hand, Foot, and Mouth Disease",Viral(Enterovirus),Communicable,"Common viral illness caused by coxsackievirus or enterovirus, mostly in children","Spread by respiratory secretions, contact with blister fluid or feces",Infectious Disease Specialist,"Supportive care, fever reducers and hydration, Consult doctor if symptoms worsen or complications arise",,,,,,,,,,,,,,,,,,
Kala-Azar (Visceral Leishmaniasis),Parasitic Infectious(Protozoal),Communicable,"A life-threatening disease caused by Leishmania parasites transmitted by sandfly bites, affecting internal organs",Infection through bite of infected female sandflies carrying Leishmania donovani,Infectious Disease Specialist,"Antileishmanial drugs, prolonged treatment required, Consult a doctor urgently for diagnosis and treatment",,,,,,,,,,,,,,,,,,
Lymphatic Filariasis (Elephantiasis),Parasitic Infectious(Helminthic),Communicable,"Caused by filarial worms (Wuchereria bancrofti, Brugia malayi) transmitted by mosquitoes, damages lymphatic system leading to severe swelling and disability",Transmission via mosquito bites carrying infective larvae,Infectious Disease Specialist,"Antiparasitic drugs, hygiene measures, surgery for hydrocele, management of swelling, Consult doctor for treatment and management",,,,,,,,,,,,,,,,,,
Giardiasis,Parasitic Infectious(Protozoal),Communicable,"Intestinal infection caused by Giardia lamblia, often from contaminated water or food, disrupts nutrient absorption","Ingestion of cysts via contaminated food, water, or close contact",Gastroenterologist,"Antiparasitic medications, Maintain hydration, Consult doctor if symptoms persist or worsen",,,,,,,,,,,,,,,,,,
Ascariasis,Parasitic Infectious(Helminthic),Communicable,"Infection with Ascaris lumbricoides roundworms in intestines, causing nutritional and respiratory symptoms",Ingesting eggs from contaminated soil or food,Infectious Disease Specialist,"Antiparasitic drugs, Hygiene and sanitation important, Consult a doctor for treatment",,,,,,,,,,,,,,,,,,
Hookworm Disease,Parasitic Infectious(Helminthic),Communicable,"Infection by Ancylostoma duodenale or Necator americanus larvae penetrating skin, causing blood loss anemia","Contact with contaminated soil through skin, mainly feet",Infectious Disease Specialist,"Antiparasitic medication, iron supplements. Consult a doctor for severe symptoms",,,,,,,,,,,,,,,,,,
Taeniasis,Parasitic Infectious(Helminthic),Communicable,Infection by adult tapeworms Taenia saginata or Taenia solium in intestines after eating undercooked meat,Eating raw or undercooked beef or pork containing cysts,Infectious Disease Specialist,"Antiparasitic drugs, Consult doctor for diagnosis and treatment",,,,,,,,,,,,,,,,,,
Toxoplasmosis,Parasitic Infectious(Protozoal),Communicable,"Infection caused by Toxoplasma gondii, often asymptomatic but causes severe complications in fetuses and immunocompromised","Contact with cat feces, undercooked meat, or congenitally transmitted",Infectious Disease Specialist,"Antiparasitic drugs, consult doctor if pregnant or immunocompromised",,,,,,,,,,,,,,,,,,
Cysticercosis,Parasitic Infectious(Helminthic),Communicable,"Tissue infection by larval cysts of Taenia solium (pork tapeworm), causing cysts in muscles, eyes, or brain",Ingesting eggs from feces-contaminated food or water,Neurologist,"Antiparasitic drugs, steroids, surgery for neurocysticercosis, Urgent doctor consultation required",,,,,,,,,,,,,,,,,,
Candidiasis (Thrush),Fungal,Communicable,"Yeast infection affecting mouth, throat, genitals, or bloodstream in immunocompromised people","Overgrowth of Candida due to antibiotic use, immunosuppression, diabetes, hormonal changes",Dermatologist,"Topical antifungals, oral fluconazole for more severe infections, Consult doctor if symptoms worsen or persist",,,,,,,,,,,,,,,,,,
Aspergillosis,Fungal,Communicable,Inhalation of Aspergillus spores causing allergy or invasive lung infection,"Exposure to spores increases risk, especially in immunocompromised and lung disease patients",Pulmonologist,"Antifungal medications, corticosteroids for allergic forms, surgery for aspergillomas, Seek medical care if breathing symptoms develop",,,,,,,,,,,,,,,,,,
"Tinea (Ringworm, Athlete's Foot)",Fungal,Communicable,"Superficial skin infection by dermatophyte fungi, Contagious fungal infection of skin, hair, or nails causing ring-shaped rashes and itching","Direct skin contact or contaminated surfaces like showers, shoes, towels",Dermatologist,"Topical antifungal creams, oral antifungals for severe or widespread infections, Maintain hygiene and avoid sharing personal items",,,,,,,,,,,,,,,,,,
Histoplasmosis,Fungal,Communicable,Inhalation of Histoplasma capsulatum spores from bird/bat droppings,"Infection caused by inhaling spores from contaminated soil, often in bird or bat droppings, Exposure to contaminant sites like caves, chicken coops",Infectious Disease Specialist,"Antifungal therapy, Consult doctor for respiratory symptoms after exposure",,,,,,,,,,,,,,,,,,
Cryptococcosis,Fungal,Communicable,Opportunistic fungal infection primarily affecting lungs and central nervous system,"Caused by Cryptococcus neoformans/fungal spores inhaled from environment, especially bird droppings",Infectious Disease Specialist,"Antifungal therapy, prolonged treatment, Immediate medical care needed if symptoms suggest meningitis",,,,,,,,,,,,,,,,,,
Sinusitis (Sinus Infection),Bacterial or Viral,Communicable,Inflammation or swelling of the tissue lining the sinuses,"Viral infection (cold), bacterial growth, or allergies",ENT Specialist,"Steam inhalation, nasal decongestants, warm compress; Antibiotics if bacterial",,,,,,,,,,,,,,,,,,
Common Cold,Viral (Respiratory),Communicable,A viral infection of the upper respiratory tract,"Rhinovirus,spread through droplets",General Physician,"Rest, hydration, saline nasal drops, OTC decongestants, honey for cough",,,,,,,,,,,,,,,,,,
Tonsillitis,Bacterial or Viral,Communicable,Inflammation of the two oval-shaped pads of tissue at the back of the throat,"Viral (common) ,Bacterial (Strep),spread by respiratory droplets",ENT Specialist,"Saltwater gargles, rest, hydration, throat lozenges, Antibiotics if bacterial",,,,,,,,,,,,,,,,,,
Skin Infestations (Scabies/Lice),Parasitic,Communicable,Skin conditions caused by tiny parasites living on the skin or hair,Sarcoptes scabiei (Mites) or Pediculus humanus (Lice) through close contact,Dermatologist,"Medicated lotions (Permethrin), washing clothes in hot water, nit combing",,,,,,,,,,,,,,,,,,
Shingles (Herpes Zoster),Viral,Communicable,"A viral infection that causes a painful rash, caused by the same virus as chickenpox",Reactivation of Varicella-zoster virus due to stress or weakened immunity,Dermatologist / Neurologist,"Antiviral medications, pain relievers, calamine lotion, cool compresses",,,,,,,,,,,,,,,,,,
Conjunctivitis (Pink Eye),Bacterial,Communicable,Conjunctivitis is inflammation or infection of the outer eye membrane,"Viral infection, bacterial infection, allergies",Ophthalmologist,"Apply warm compress, wash hands frequently, avoid touching eyes, and avoid sharing towels, Artificial tears may help irritation, Seek medical advice if symptoms worsen",,,,,,,,,,,,,,,,,,
Croup,Viral (Respiratory),Communicable,An upper airway infection that blocks breathing and has a distinctive cough,Parainfluenza virus; spread through respiratory droplets,Pediatrician,"Cool mist humidifier, upright positioning, hydration, steroids if severe",,,,,,,,,,,,,,,,,,
Cardiomyopathy,Cardiovascular,Non-Communicable,"A group of diseases affecting heart muscle, impairing its ability to pump blood efficiently, Includes dilated, hypertrophic, and restrictive types","Genetic causes, long-term high blood pressure, heart attacks, infections, alcohol abuse",Cardiologist,"Consult doctor for symptoms or worsening condition, Medications, lifestyle changes, implanted devices, surgery or transplant in severe cases",,,,,,,,,,,,,,,,,,
Atherosclerosis,Cardiovascular,Non-Communicable,"Hardening and narrowing of arteries caused by cholesterol plaque buildup, reducing blood flow","High cholesterol, smoking, diabetes, high blood pressure, obesity, sedentary lifestyle",Cardiologist,"Consult doctor for symptoms and conditions, Lifestyle changes like reducing alcohol consumption and smoking, cholesterol and blood pressure meds, surgery if critical blockage, Urgent care if chest pain or sudden weakness",,,,,,,,,,,,,,,,,,
Congestive Heart Failure,Cardiovascular,Non-Communicable,"Condition where heart is unable to pump adequate blood, causing fluid buildup in lungs and body","Coronary artery disease, hypertension, cardiomyopathy, heart valve diseases",Cardiologist,"Medications (beta blockers,diuretics), lifestyle changes, devices, surgery. Consult cardiologist early for management",,,,,,,,,,,,,,,,,,
Myocarditis,"Cardiovascular, Inflammatory",Non-Communicable,"Inflammation of heart muscle often caused by infections or autoimmune diseases, impairing heart's ability to pump","Viral infections, autoimmune diseases, toxins, medications",Cardiologist,"Medications (anti-inflammatory, heart failure drugs), rest, hospital care for severe cases, sometimes devices or surgery, Consult doctor urgently if symptoms worsen",,,,,,,,,,,,,,,,,,
Endocarditis,"Cardiovascular, Infectious",Non-Communicable,Infection of heart valves or inner lining often caused by bacteria or fungi entering bloodstream and attaching to damaged heart tissue,"Bacterial or fungal infection from bloodstream, often after dental procedures or IV drug use",Cardiologist,"Long course of antibiotics, sometimes surgery to repair or replace valves, Immediate medical care required",,,,,,,,,,,,,,,,,,
Peripheral Artery Disease,"Cardiovascular, Circulatory",Non-Communicable,"Narrowing or blockage of arteries supplying limbs, primarily caused by atherosclerosis, reducing blood flow","Atherosclerosis due to high cholesterol, smoking, diabetes, hypertension",Cardiologist,"Lifestyle changes, medications (antiplatelets, cholesterol-lowering), surgery or angioplasty in advanced cases. Consult doctor if symptoms develop or worsen",,,,,,,,,,,,,,,,,,
Aortic Aneurysm,Cardiovascular,Non-Communicable,An enlargement or bulging of the aorta wall which can rupture causing life-threatening bleeding,"Atherosclerosis, high blood pressure, connective tissue disorders, smoking",Cardiologist,"Blood pressure control, monitoring, surgical repair for large/dangerous aneurysms, Emergency surgery needed if ruptured, Seek immediate medical care for severe pain or symptoms",,,,,,,,,,,,,,,,,,
Arrhythmias,Cardiovascular,Non-Communicable,"Abnormal heart rhythms, particularly atrial fibrillation which increases stroke risk","Underlying heart disease, hypertension, stress, age, alcohol, other health conditions",Cardiologist,"Rate/rhythm control medications, anticoagulants to prevent clots, ablation, cardioversion, Consult cardiologist for diagnosis and management",,,,,,,,,,,,,,,,,,
Cor Pulmonale,"Cardiovascular, Pulmonary",Non-Communicable,Right heart failure caused by lung diseases or pulmonary hypertension increasing heart workload,"Chronic lung diseases (COPD, pulmonary embolism), pulmonary hypertension",Cardiologist,"Treat underlying lung condition, oxygen therapy, medications, surgery in severe cases, See doctor early for symptoms",,,,,,,,,,,,,,,,,,
Rheumatic Heart Disease,"Cardiovascular, Post-infectious",Non-Communicable,Chronic heart valve damage after untreated rheumatic fever from streptococcal infection,Autoimmune reaction following Streptococcus bacteria infection,Cardiologist,"Antibiotics, anti-inflammatory drugs, possible valve repair/replacement, Regular follow-up with cardiologist needed",,,,,,,,,,,,,,,,,,
Leukemia,Blood Cancer,Non-Communicable,Cancer of blood-forming tissues causing abnormal white blood cell production,"Genetic mutations, radiation, chemicals, some viral infections",Hematologist,"Chemotherapy, radiation, stem cell transplant, consult oncologist for management",,,,,,,,,,,,,,,,,,
