User Input Text (Features),Target_Disease (Label),,,,,,,,,,,,,,,,,,,,,,,,
"""Infertility""",PCOS (Polycystic Ovary Syndrome),,,,,,,,,,,,,,,,,,,,,,,,
"""Excessive hair growth or hirsutism on face or body""",PCOS (Polycystic Ovary Syndrome),,,,,,,,,,,,,,,,,,,,,,,,
"""Acne or oily skin""",PCOS (Polycystic Ovary Syndrome),,,,,,,,,,,,,,,,,,,,,,,,
"""Thinning hair on the scalp""",PCOS (Polycystic Ovary Syndrome),,,,,,,,,,,,,,,,,,,,,,,,
"""My periods are very unpredictable and sometimes I skip months""",PCOS (Polycystic Ovary Syndrome),,,,,,,,,,,,,,,,,,,,,,,,
"""I'm struggling to get pregnant""",PCOS (Polycystic Ovary Syndrome),,,,,,,,,,,,,,,,,,,,,,,,
"""I've noticed thick, dark hair growing on my chin and chest""",PCOS (Polycystic Ovary Syndrome),,,,,,,,,,,,,,,,,,,,,,,,
"""I'm gaining weight around my belly and can't seem to lose it""",PCOS (Polycystic Ovary Syndrome),,,,,,,,,,,,,,,,,,,,,,,,
"""I have dark, velvety patches of skin around my neck""",PCOS (Polycystic Ovary Syndrome),,,,,,,,,,,,,,,,,,,,,,,,
"""I've been breaking out with bad acne lately""",PCOS (Polycystic Ovary Syndrome),,,,,,,,,,,,,,,,,,,,,,,,
"""My hair is getting much thinner on top of my head""",PCOS (Polycystic Ovary Syndrome),,,,,,,,,,,,,,,,,,,,,,,,
"""I have skin tags in my armpits and neck area""",PCOS (Polycystic Ovary Syndrome),,,,,,,,,,,,,,,,,,,,,,,,
"""Frequent mood swings and pelvic pain""",PCOS (Polycystic Ovary Syndrome),,,,,,,,,,,,,,,,,,,,,,,,
"""My skin feels very oily and I have constant breakouts""",PCOS (Polycystic Ovary Syndrome),,,,,,,,,,,,,,,,,,,,,,,,
"""Extreme fatigue and weakness""",Iron Deficiency Anemia,,,,,,,,,,,,,,,,,,,,,,,,
"""Pale or yellowish skin""",Iron Deficiency Anemia,,,,,,,,,,,,,,,,,,,,,,,,
"""Shortness of breath""",Iron Deficiency Anemia,,,,,,,,,,,,,,,,,,,,,,,,
"""Dizziness or lightheadedness""",Iron Deficiency Anemia,,,,,,,,,,,,,,,,,,,,,,,,
"""Cold hands and feet""",Iron Deficiency Anemia,,,,,,,,,,,,,,,,,,,,,,,,
"""I feel exhausted all the time, no matter how much I sleep""",Iron Deficiency Anemia,,,,,,,,,,,,,,,,,,,,,,,,
"""My skin looks much paler than it used to""",Iron Deficiency Anemia,,,,,,,,,,,,,,,,,,,,,,,,
"""I feel dizzy whenever I stand up too quickly""",Iron Deficiency Anemia,,,,,,,,,,,,,,,,,,,,,,,,
"""I have a strange craving to chew on ice or dirt""",Iron Deficiency Anemia,,,,,,,,,,,,,,,,,,,,,,,,
"""My tongue feels sore and looks a bit swollen""",Iron Deficiency Anemia,,,,,,,,,,,,,,,,,,,,,,,,
"""My nails are brittle and have a weird spoon-like shape""",Iron Deficiency Anemia,,,,,,,,,,,,,,,,,,,,,,,,
"""My heart starts racing even when I'm just walking slowly""",Iron Deficiency Anemia,,,,,,,,,,,,,,,,,,,,,,,,
"""I get cracks at the corners of my mouth""",Iron Deficiency Anemia,,,,,,,,,,,,,,,,,,,,,,,,
"""I have restless legs at night that keep me awake""",Iron Deficiency Anemia,,,,,,,,,,,,,,,,,,,,,,,,
"""I can't exercise as long as I used to without getting winded""",Iron Deficiency Anemia,,,,,,,,,,,,,,,,,,,,,,,,
"""Swollen, bleeding, or spongy gums""",Scurvy (Vitamin C Deficiency),,,,,,,,,,,,,,,,,,,,,,,,
"""Swollen, bleeding, or spongy gums""",Scurvy (Vitamin C Deficiency),,,,,,,,,,,,,,,,,,,,,,,,
"""Pain in muscles and joints""",Scurvy (Vitamin C Deficiency),,,,,,,,,,,,,,,,,,,,,,,,
"""Skin hemorrhages or easy bruising""",Scurvy (Vitamin C Deficiency),,,,,,,,,,,,,,,,,,,,,,,,
"""Small red or blue spots under the skin""",Scurvy (Vitamin C Deficiency),,,,,,,,,,,,,,,,,,,,,,,,
"""Poor wound healing""",Scurvy (Vitamin C Deficiency),,,,,,,,,,,,,,,,,,,,,,,,
"""My gums are bleeding every time I brush my teeth""",Scurvy (Vitamin C Deficiency),,,,,,,,,,,,,,,,,,,,,,,,
"""I have these tiny purple spots appearing on my legs""",Scurvy (Vitamin C Deficiency),,,,,,,,,,,,,,,,,,,,,,,,
"""My skin feels very rough, dry, and scaly""",Scurvy (Vitamin C Deficiency),,,,,,,,,,,,,,,,,,,,,,,,
"""Even small scratches take forever to heal""",Scurvy (Vitamin C Deficiency),,,,,,,,,,,,,,,,,,,,,,,,
"""My joints are stiff and very painful to move""",Scurvy (Vitamin C Deficiency),,,,,,,,,,,,,,,,,,,,,,,,
"""My hair is becoming very dry and brittle""",Scurvy (Vitamin C Deficiency),,,,,,,,,,,,,,,,,,,,,,,,
"""I've been feeling very irritable and tired lately""",Scurvy (Vitamin C Deficiency),,,,,,,,,,,,,,,,,,,,,,,,
"""I noticed some of my teeth are starting to feel loose""",Scurvy (Vitamin C Deficiency),,,,,,,,,,,,,,,,,,,,,,,,
"""I have large bruises appearing without any injury""",Scurvy (Vitamin C Deficiency),,,,,,,,,,,,,,,,,,,,,,,,
"""Loss of appetite and unintended weight loss""",Scurvy (Vitamin C Deficiency),,,,,,,,,,,,,,,,,,,,,,,,
"""Persistent cough with thick mucus""",Cystic Fibrosis,,,,,,,,,,,,,,,,,,,,,,,,
"""Recurrent lung or sinus infections""",Cystic Fibrosis,,,,,,,,,,,,,,,,,,,,,,,,
"""Wheezing and shortness of breath""",Cystic Fibrosis,,,,,,,,,,,,,,,,,,,,,,,,
"""Greasy, bulky, or foul-smelling stools""",Cystic Fibrosis,,,,,,,,,,,,,,,,,,,,,,,,
"""Difficulty gaining weight or poor growth""",Cystic Fibrosis,,,,,,,,,,,,,,,,,,,,,,,,
"""I've noticed that my child's skin tastes very salty""",Cystic Fibrosis,,,,,,,,,,,,,,,,,,,,,,,,
"""I'm constantly coughing up very thick, sticky phlegm""",Cystic Fibrosis,,,,,,,,,,,,,,,,,,,,,,,,
"""I seem to get a chest infection every few months""",Cystic Fibrosis,,,,,,,,,,,,,,,,,,,,,,,,
"""My stomach always feels bloated and painful""",Cystic Fibrosis,,,,,,,,,,,,,,,,,,,,,,,,
"""I have frequent, large, oily bowel movements""",Cystic Fibrosis,,,,,,,,,,,,,,,,,,,,,,,,
"""My fingers and toes look rounded or clubbed at the ends""",Cystic Fibrosis,,,,,,,,,,,,,,,,,,,,,,,,
"""I'm having a lot of trouble putting on weight""",Cystic Fibrosis,,,,,,,,,,,,,,,,,,,,,,,,
"""Persistent nasal congestion and sinus pressure""",Cystic Fibrosis,,,,,,,,,,,,,,,,,,,,,,,,
"""Intestinal blockages and frequent stomach aches""",Cystic Fibrosis,,,,,,,,,,,,,,,,,,,,,,,,
"""Exercise makes me very short of breath and wheezy""",Cystic Fibrosis,,,,,,,,,,,,,,,,,,,,,,,,
"""Severe shortness of breath""",Acute Respiratory Distress Syndrome (ARDS),,,,,,,,,,,,,,,,,,,,,,,,
"""Rapid or labored breathing""",Acute Respiratory Distress Syndrome (ARDS),,,,,,,,,,,,,,,,,,,,,,,,
"""Low blood pressure""",Acute Respiratory Distress Syndrome (ARDS),,,,,,,,,,,,,,,,,,,,,,,,
"""Confusion and extreme tiredness""",Acute Respiratory Distress Syndrome (ARDS),,,,,,,,,,,,,,,,,,,,,,,,
"""Bluish coloration of lips or fingernails""",Acute Respiratory Distress Syndrome (ARDS),,,,,,,,,,,,,,,,,,,,,,,,
"""I feel like I'm suffocating and can't get any air""",Acute Respiratory Distress Syndrome (ARDS),,,,,,,,,,,,,,,,,,,,,,,,
"""My breathing is very fast and it's hard work to inhale""",Acute Respiratory Distress Syndrome (ARDS),,,,,,,,,,,,,,,,,,,,,,,,
"""My lips look blue and I feel very lightheaded""",Acute Respiratory Distress Syndrome (ARDS),,,,,,,,,,,,,,,,,,,,,,,,
"""My heart is beating incredibly fast""",Acute Respiratory Distress Syndrome (ARDS),,,,,,,,,,,,,,,,,,,,,,,,
"""I feel very confused and don't know where I am""",Acute Respiratory Distress Syndrome (ARDS),,,,,,,,,,,,,,,,,,,,,,,,
"""Sudden onset of extreme breathing difficulty""",Acute Respiratory Distress Syndrome (ARDS),,,,,,,,,,,,,,,,,,,,,,,,
"""I feel completely exhausted just trying to breathe""",Acute Respiratory Distress Syndrome (ARDS),,,,,,,,,,,,,,,,,,,,,,,,
"""Sharp chest discomfort and persistent dry cough""",Acute Respiratory Distress Syndrome (ARDS),,,,,,,,,,,,,,,,,,,,,,,,
"""I'm gasping for breath and my skin feels cold""",Acute Respiratory Distress Syndrome (ARDS),,,,,,,,,,,,,,,,,,,,,,,,
"""My oxygen levels must be low, I feel very faint""",Acute Respiratory Distress Syndrome (ARDS),,,,,,,,,,,,,,,,,,,,,,,,
"""Tremor or shaking in hands, arms, or legs""",Parkinson's Disease,,,,,,,,,,,,,,,,,,,,,,,,
"""Slowness of movement or bradykinesia""",Parkinson's Disease,,,,,,,,,,,,,,,,,,,,,,,,
"""Rigidity or stiffness in limbs""",Parkinson's Disease,,,,,,,,,,,,,,,,,,,,,,,,
"""Problems with balance and posture""",Parkinson's Disease,,,,,,,,,,,,,,,,,,,,,,,,
"""Reduced facial expression or masked face""",Parkinson's Disease,,,,,,,,,,,,,,,,,,,,,,,,
"""My hand shakes when I'm just sitting still""",Parkinson's Disease,,,,,,,,,,,,,,,,,,,,,,,,
"""It takes me a long time to get out of a chair""",Parkinson's Disease,,,,,,,,,,,,,,,,,,,,,,,,
"""My muscles feel very stiff and hard to move""",Parkinson's Disease,,,,,,,,,,,,,,,,,,,,,,,,
"""My handwriting has become very small and cramped""",Parkinson's Disease,,,,,,,,,,,,,,,,,,,,,,,,
"""I've lost my sense of smell recently""",Parkinson's Disease,,,,,,,,,,,,,,,,,,,,,,,,
"""I feel unsteady on my feet and worry about falling""",Parkinson's Disease,,,,,,,,,,,,,,,,,,,,,,,,
"""I have trouble sleeping and move a lot in my dreams""",Parkinson's Disease,,,,,,,,,,,,,,,,,,,,,,,,
"""My voice has become very soft or monotonous""",Parkinson's Disease,,,,,,,,,,,,,,,,,,,,,,,,
"""I don't blink as much and my face feels stiff""",Parkinson's Disease,,,,,,,,,,,,,,,,,,,,,,,,
"""Persistent constipation and feelings of depression""",Parkinson's Disease,,,,,,,,,,,,,,,,,,,,,,,,
"""Recurrent seizures""",Epilepsy,,,,,,,,,,,,,,,,,,,,,,,,
"""Brief staring spells""",Epilepsy,,,,,,,,,,,,,,,,,,,,,,,,
"""Uncontrolled jerking movements of arms or legs""",Epilepsy,,,,,,,,,,,,,,,,,,,,,,,,
"""Sudden loss of awareness or consciousness""",Epilepsy,,,,,,,,,,,,,,,,,,,,,,,,
"""Stiffening of the body""",Epilepsy,,,,,,,,,,,,,,,,,,,,,,,,
"""I sometimes black out and don't remember what happened""",Epilepsy,,,,,,,,,,,,,,,,,,,,,,,,
"""I have moments where I just stare into space for a few seconds""",Epilepsy,,,,,,,,,,,,,,,,,,,,,,,,
"""My arms and legs jerked uncontrollably this morning""",Epilepsy,,,,,,,,,,,,,,,,,,,,,,,,
"""I feel very confused and tired after a 'blank' episode""",Epilepsy,,,,,,,,,,,,,,,,,,,,,,,,
"""I smell strange things like burnt toast when nothing is there""",Epilepsy,,,,,,,,,,,,,,,,,,,,,,,,
"""I feel a sudden wave of intense fear or anxiety for no reason""",Epilepsy,,,,,,,,,,,,,,,,,,,,,,,,
"""I bit my tongue and was shaking all over""",Epilepsy,,,,,,,,,,,,,,,,,,,,,,,,
"""I noticed some lip smacking or fumbling with my clothes""",Epilepsy,,,,,,,,,,,,,,,,,,,,,,,,
"""I feel a strange tingling sensation before I lose track of time""",Epilepsy,,,,,,,,,,,,,,,,,,,,,,,,
"""Sudden muscle twitching or loss of muscle control""",Epilepsy,,,,,,,,,,,,,,,,,,,,,,,,
"""Severe watery diarrhea or 'rice water' stools""",Cholera,,,,,,,,,,,,,,,,,,,,,,,,
"""Vomiting""",Cholera,,,,,,,,,,,,,,,,,,,,,,,,
"""Rapid dehydration""",Cholera,,,,,,,,,,,,,,,,,,,,,,,,
"""Muscle cramps especially in the legs""",Cholera,,,,,,,,,,,,,,,,,,,,,,,,
"""Sunken eyes and dry skin""",Cholera,,,,,,,,,,,,,,,,,,,,,,,,
"""I have constant, very watery diarrhea that looks like cloudy water""",Cholera,,,,,,,,,,,,,,,,,,,,,,,,
"""I can't stop vomiting and I'm losing fluid fast""",Cholera,,,,,,,,,,,,,,,,,,,,,,,,
"""My legs are cramping up really badly""",Cholera,,,,,,,,,,,,,,,,,,,,,,,,
"""I feel extremely thirsty and my mouth is bone dry""",Cholera,,,,,,,,,,,,,,,,,,,,,,,,
"""I haven't urinated in hours and I feel very weak""",Cholera,,,,,,,,,,,,,,,,,,,,,,,,
"""My skin doesn't bounce back when I pinch it""",Cholera,,,,,,,,,,,,,,,,,,,,,,,,
"""I feel very restless and my heart is beating fast""",Cholera,,,,,,,,,,,,,,,,,,,,,,,,
"""My eyes look sunken and I feel lightheaded""",Cholera,,,,,,,,,,,,,,,,,,,,,,,,
"""Sudden, massive loss of body fluids""",Cholera,,,,,,,,,,,,,,,,,,,,,,,,
"""Extreme lethargy and low blood pressure""",Cholera,,,,,,,,,,,,,,,,,,,,,,,,
"""Skin lesions with discoloration or nodules""",Hansen's Disease (Leprosy),,,,,,,,,,,,,,,,,,,,,,,,
"""Numbness or loss of sensation in skin patches""",Hansen's Disease (Leprosy),,,,,,,,,,,,,,,,,,,,,,,,
"""Muscle weakness""",Hansen's Disease (Leprosy),,,,,,,,,,,,,,,,,,,,,,,,
"""Painless ulcers on the soles of feet""",Hansen's Disease (Leprosy),,,,,,,,,,,,,,,,,,,,,,,,
"""Enlarged nerves especially around elbow or knee""",Hansen's Disease (Leprosy),,,,,,,,,,,,,,,,,,,,,,,,
"""I have a light-colored patch on my skin that I can't feel at all""",Hansen's Disease (Leprosy),,,,,,,,,,,,,,,,,,,,,,,,
"""I burned my hand but didn't feel any pain""",Hansen's Disease (Leprosy),,,,,,,,,,,,,,,,,,,,,,,,
"""I have some lumps or nodules on my face and ears""",Hansen's Disease (Leprosy),,,,,,,,,,,,,,,,,,,,,,,,
"""My hands and feet feel very weak and I'm dropping things""",Hansen's Disease (Leprosy),,,,,,,,,,,,,,,,,,,,,,,,
"""I have a sore on my foot that won't heal but it doesn't hurt""",Hansen's Disease (Leprosy),,,,,,,,,,,,,,,,,,,,,,,,
"""My eyebrows and eyelashes are starting to fall out""",Hansen's Disease (Leprosy),,,,,,,,,,,,,,,,,,,,,,,,
"""I'm having some trouble with my vision lately""",Hansen's Disease (Leprosy),,,,,,,,,,,,,,,,,,,,,,,,
"""There are thick, stiff, and dry areas on my skin""",Hansen's Disease (Leprosy),,,,,,,,,,,,,,,,,,,,,,,,
"""My nose feels stuffy and I've had some nosebleeds""",Hansen's Disease (Leprosy),,,,,,,,,,,,,,,,,,,,,,,,
"""Loss of feeling in my fingers and toes""",Hansen's Disease (Leprosy),,,,,,,,,,,,,,,,,,,,,,,,
"""Muscle stiffness and spasms""",Tetanus,,,,,,,,,,,,,,,,,,,,,,,,
"""Muscle stiffness and spasms""",Tetanus,,,,,,,,,,,,,,,,,,,,,,,,
"""Lockjaw or stiffness of the jaw muscles""",Tetanus,,,,,,,,,,,,,,,,,,,,,,,,
"""Difficulty swallowing""",Tetanus,,,,,,,,,,,,,,,,,,,,,,,,
"""Painful body spasms""",Tetanus,,,,,,,,,,,,,,,,,,,,,,,,
"""Fever and sweating""",Tetanus,,,,,,,,,,,,,,,,,,,,,,,,
"""My jaw feels very stiff and I can't open my mouth all the way""",Tetanus,,,,,,,,,,,,,,,,,,,,,,,,
"""I'm having painful muscle spasms in my neck and stomach""",Tetanus,,,,,,,,,,,,,,,,,,,,,,,,
"""My back is arching involuntarily and it's very painful""",Tetanus,,,,,,,,,,,,,,,,,,,,,,,,
"""It's becoming very hard for me to swallow my food""",Tetanus,,,,,,,,,,,,,,,,,,,,,,,,
"""I feel very restless and my heart is racing""",Tetanus,,,,,,,,,,,,,,,,,,,,,,,,
"""My muscles feel rigid and tight all over""",Tetanus,,,,,,,,,,,,,,,,,,,,,,,,
"""I have a high fever and I'm sweating a lot""",Tetanus,,,,,,,,,,,,,,,,,,,,,,,,
"""Even a loud noise or light touch triggers a muscle spasm""",Tetanus,,,,,,,,,,,,,,,,,,,,,,,,
"""Stiffness in my facial muscles making a strange 'grin'""",Tetanus,,,,,,,,,,,,,,,,,,,,,,,,
"""I'm worried because I stepped on a rusty nail and now I'm stiff""",Tetanus,,,,,,,,,,,,,,,,,,,,,,,,
"""Painful throat and difficulty swallowing""",Diphtheria,,,,,,,,,,,,,,,,,,,,,,,,
"""Low fever and rapid heartbeat""",Diphtheria,,,,,,,,,,,,,,,,,,,,,,,,
"""A thick, gray membrane covering the back of the throat""",Diphtheria,,,,,,,,,,,,,,,,,,,,,,,,
"""Swollen glands in the neck or bull neck appearance""",Diphtheria,,,,,,,,,,,,,,,,,,,,,,,,
"""Difficulty breathing or rapid breathing""",Diphtheria,,,,,,,,,,,,,,,,,,,,,,,,
"""There is a strange gray coating on the back of my throat""",Diphtheria,,,,,,,,,,,,,,,,,,,,,,,,
"""My neck is very swollen and it's getting hard to breathe""",Diphtheria,,,,,,,,,,,,,,,,,,,,,,,,
"""I have a raspy cough and a sore throat with a mild fever""",Diphtheria,,,,,,,,,,,,,,,,,,,,,,,,
"""It hurts so much to swallow anything""",Diphtheria,,,,,,,,,,,,,,,,,,,,,,,,
"""I feel very weak and my heart feels like it's racing""",Diphtheria,,,,,,,,,,,,,,,,,,,,,,,,
"""I've noticed a foul-smelling discharge from my nose""",Diphtheria,,,,,,,,,,,,,,,,,,,,,,,,
"""My voice is very hoarse and my throat looks inflamed""",Diphtheria,,,,,,,,,,,,,,,,,,,,,,,,
"""Double vision and slurred speech starting after a sore throat""",Diphtheria,,,,,,,,,,,,,,,,,,,,,,,,
"""Persistent barking cough and skin turning slightly blue""",Diphtheria,,,,,,,,,,,,,,,,,,,,,,,,
"""Chills, fatigue, and heavy swelling around the jawline""",Diphtheria,,,,,,,,,,,,,,,,,,,,,,,,
"""Severe hacking cough followed by a high-pitched ""whoop""""",Whooping Cough (Pertussis),,,,,,,,,,,,,,,,,,,,,,,,
"""Vomiting during or after coughing fits""",Whooping Cough (Pertussis),,,,,,,,,,,,,,,,,,,,,,,,
"""Exhaustion after coughing paroxysms""",Whooping Cough (Pertussis),,,,,,,,,,,,,,,,,,,,,,,,
"""Runny nose and red, watery eyes""",Whooping Cough (Pertussis),,,,,,,,,,,,,,,,,,,,,,,,
"""Pauses in breathing and apnea in infants""",Whooping Cough (Pertussis),,,,,,,,,,,,,,,,,,,,,,,,
"""I cough so hard that I end up gagging or throwing up""",Whooping Cough (Pertussis),,,,,,,,,,,,,,,,,,,,,,,,
"""When I finally catch my breath after coughing, I make a loud whistling sound""",Whooping Cough (Pertussis),,,,,,,,,,,,,,,,,,,,,,,,
"""I've had a 'cold' for two weeks but the cough is getting violent""",Whooping Cough (Pertussis),,,,,,,,,,,,,,,,,,,,,,,,
"""My ribs hurt because I've been coughing so forcefully""",Whooping Cough (Pertussis),,,,,,,,,,,,,,,,,,,,,,,,
"""I feel completely drained of energy after a coughing spell""",Whooping Cough (Pertussis),,,,,,,,,,,,,,,,,,,,,,,,
"""I can't stop coughing long enough to take a breath""",Whooping Cough (Pertussis),,,,,,,,,,,,,,,,,,,,,,,,
"""Face turning red or purple during a fit of coughing""",Whooping Cough (Pertussis),,,,,,,,,,,,,,,,,,,,,,,,
"""Persistent dry cough that is much worse at night""",Whooping Cough (Pertussis),,,,,,,,,,,,,,,,,,,,,,,,
"""A mild fever and sneezing followed by uncontrollable hacking""",Whooping Cough (Pertussis),,,,,,,,,,,,,,,,,,,,,,,,
"""My child stops breathing for a few seconds after coughing""",Whooping Cough (Pertussis),,,,,,,,,,,,,,,,,,,,,,,,
"""Sudden and severe sore throat""",Streptococcal Pharyngitis (Strep Throat),,,,,,,,,,,,,,,,,,,,,,,,
"""Pain when swallowing""",Streptococcal Pharyngitis (Strep Throat),,,,,,,,,,,,,,,,,,,,,,,,
"""Red and swollen tonsils, sometimes with white patches or streaks of pus""",Streptococcal Pharyngitis (Strep Throat),,,,,,,,,,,,,,,,,,,,,,,,
"""Tiny red spots on the roof of the mouth""",Streptococcal Pharyngitis (Strep Throat),,,,,,,,,,,,,,,,,,,,,,,,
"""Swollen, tender lymph nodes in the neck""",Streptococcal Pharyngitis (Strep Throat),,,,,,,,,,,,,,,,,,,,,,,,
"""My throat is bright red and has white spots all over the back""",Streptococcal Pharyngitis (Strep Throat),,,,,,,,,,,,,,,,,,,,,,,,
"""I have a high fever and a headache, but I'm not coughing""",Streptococcal Pharyngitis (Strep Throat),,,,,,,,,,,,,,,,,,,,,,,,
"""The glands in my neck are huge and very painful to touch""",Streptococcal Pharyngitis (Strep Throat),,,,,,,,,,,,,,,,,,,,,,,,
"""It feels like I'm swallowing glass""",Streptococcal Pharyngitis (Strep Throat),,,,,,,,,,,,,,,,,,,,,,,,
"""I have a stomach ache and I've been feeling nauseous with this sore throat""",Streptococcal Pharyngitis (Strep Throat),,,,,,,,,,,,,,,,,,,,,,,,
"""Small red dots have appeared on the roof of my mouth""",Streptococcal Pharyngitis (Strep Throat),,,,,,,,,,,,,,,,,,,,,,,,
"""I woke up with a very painful throat and a sandpaper-like rash on my chest""",Streptococcal Pharyngitis (Strep Throat),,,,,,,,,,,,,,,,,,,,,,,,
"""Persistent raw feeling in the throat and loss of appetite""",Streptococcal Pharyngitis (Strep Throat),,,,,,,,,,,,,,,,,,,,,,,,
"""Bad breath and a very red, inflamed throat""",Streptococcal Pharyngitis (Strep Throat),,,,,,,,,,,,,,,,,,,,,,,,
"""Red, swollen, and tender area of skin""",Cellulitis,,,,,,,,,,,,,,,,,,,,,,,,
"""Skin that feels warm to the touch""",Cellulitis,,,,,,,,,,,,,,,,,,,,,,,,
"""Rapidly spreading rash or redness""",Cellulitis,,,,,,,,,,,,,,,,,,,,,,,,
"""Blisters or skin dimpling and orange peel appearance""",Cellulitis,,,,,,,,,,,,,,,,,,,,,,,,
"""Fever and chills""",Cellulitis,,,,,,,,,,,,,,,,,,,,,,,,
"""A patch of skin on my leg is red, hot, and getting bigger fast""",Cellulitis,,,,,,,,,,,,,,,,,,,,,,,,
"""The red area on my arm is very painful and swollen""",Cellulitis,,,,,,,,,,,,,,,,,,,,,,,,
"""I have red streaks leading away from a sore on my skin""",Cellulitis,,,,,,,,,,,,,,,,,,,,,,,,
"""My skin looks pitted, almost like the surface of an orange""",Cellulitis,,,,,,,,,,,,,,,,,,,,,,,,
"""I feel feverish and the red spot on my skin is throbbing""",Cellulitis,,,,,,,,,,,,,,,,,,,,,,,,
"""The infected area feels very firm and tender""",Cellulitis,,,,,,,,,,,,,,,,,,,,,,,,
"""I noticed some small blisters forming on the red part of my skin""",Cellulitis,,,,,,,,,,,,,,,,,,,,,,,,
"""General feeling of being unwell with a localized skin infection""",Cellulitis,,,,,,,,,,,,,,,,,,,,,,,,
"""Tight, glossy, and stretched appearance of the skin""",Cellulitis,,,,,,,,,,,,,,,,,,,,,,,,
"""Abscess formation or drainage from a red, swollen site""",Cellulitis,,,,,,,,,,,,,,,,,,,,,,,,
"""A painful, swollen lump under the skin""",Abscesses,,,,,,,,,,,,,,,,,,,,,,,,
"""A painful, swollen lump under the skin""",Abscesses,,,,,,,,,,,,,,,,,,,,,,,,
"""Redness and warmth over the lump""",Abscesses,,,,,,,,,,,,,,,,,,,,,,,,
"""Pus drainage from the center of the lump""",Abscesses,,,,,,,,,,,,,,,,,,,,,,,,
"""Fever or chills if the infection spreads""",Abscesses,,,,,,,,,,,,,,,,,,,,,,,,
"""Tenderness and localized throbbing pain""",Abscesses,,,,,,,,,,,,,,,,,,,,,,,,
"""I have a painful, red boil that feels like it's full of fluid""",Abscesses,,,,,,,,,,,,,,,,,,,,,,,,
"""The lump on my skin is white or yellow in the middle""",Abscesses,,,,,,,,,,,,,,,,,,,,,,,,
"""It really hurts when I press on this swollen spot""",Abscesses,,,,,,,,,,,,,,,,,,,,,,,,
"""I have a constant throbbing pain in this red bump""",Abscesses,,,,,,,,,,,,,,,,,,,,,,,,
"""There is thick yellow liquid oozing from a sore on my body""",Abscesses,,,,,,,,,,,,,,,,,,,,,,,,
"""The area around the lump feels very hot""",Abscesses,,,,,,,,,,,,,,,,,,,,,,,,
"""I've developed a fever since this painful lump appeared""",Abscesses,,,,,,,,,,,,,,,,,,,,,,,,
"""Hard, tender knot under the skin that is sensitive to touch""",Abscesses,,,,,,,,,,,,,,,,,,,,,,,,
"""Inflammation and swelling that won't go down""",Abscesses,,,,,,,,,,,,,,,,,,,,,,,,
"""Recurrent painful lumps that eventually burst and drain""",Abscesses,,,,,,,,,,,,,,,,,,,,,,,,
"""High fever and severe headache""",Leptospirosis,,,,,,,,,,,,,,,,,,,,,,,,
"""Muscle aches, especially in the calves and lower back""",Leptospirosis,,,,,,,,,,,,,,,,,,,,,,,,
"""Redness in the eyes or conjunctival suffusion""",Leptospirosis,,,,,,,,,,,,,,,,,,,,,,,,
"""Jaundice or yellowing of skin and eyes""",Leptospirosis,,,,,,,,,,,,,,,,,,,,,,,,
"""Abdominal pain, diarrhea, or vomiting""",Leptospirosis,,,,,,,,,,,,,,,,,,,,,,,,
"""My eyes are very red but they don't itch or have discharge""",Leptospirosis,,,,,,,,,,,,,,,,,,,,,,,,
"""I have a sudden high fever and my calf muscles are extremely sore""",Leptospirosis,,,,,,,,,,,,,,,,,,,,,,,,
"""The whites of my eyes look yellow and I have a terrible headache""",Leptospirosis,,,,,,,,,,,,,,,,,,,,,,,,
"""I've been shivering with chills and my stomach hurts""",Leptospirosis,,,,,,,,,,,,,,,,,,,,,,,,
"""I developed a rash and my urine has become very dark""",Leptospirosis,,,,,,,,,,,,,,,,,,,,,,,,
"""I feel very sick after being in floodwaters recently""",Leptospirosis,,,,,,,,,,,,,,,,,,,,,,,,
"""Persistent nausea and muscle tenderness all over""",Leptospirosis,,,,,,,,,,,,,,,,,,,,,,,,
"""Coughing and chest pain following a high fever""",Leptospirosis,,,,,,,,,,,,,,,,,,,,,,,,
"""Stiff neck and sensitivity to light""",Leptospirosis,,,,,,,,,,,,,,,,,,,,,,,,
"""General weakness and loss of appetite with a skin rash""",Leptospirosis,,,,,,,,,,,,,,,,,,,,,,,,
"""Diarrhea""",Salmonellosis (non-typhoidal),,,,,,,,,,,,,,,,,,,,,,,,
"""Diarrhea maybe bloody""",Salmonellosis (non-typhoidal),,,,,,,,,,,,,,,,,,,,,,,,
"""Fever and stomach cramps""",Salmonellosis (non-typhoidal),,,,,,,,,,,,,,,,,,,,,,,,
"""Nausea and vomiting""",Salmonellosis (non-typhoidal),,,,,,,,,,,,,,,,,,,,,,,,
"""Headache and chills""",Salmonellosis (non-typhoidal),,,,,,,,,,,,,,,,,,,,,,,,
"""Dehydration symptoms like dry mouth, dizziness""",Salmonellosis (non-typhoidal),,,,,,,,,,,,,,,,,,,,,,,,
"""I have terrible stomach cramps and watery diarrhea""",Salmonellosis (non-typhoidal),,,,,,,,,,,,,,,,,,,,,,,,
"""I feel nauseous and have been throwing up all day""",Salmonellosis (non-typhoidal),,,,,,,,,,,,,,,,,,,,,,,,
"""I have a fever and my joints feel a bit achy""",Salmonellosis (non-typhoidal),,,,,,,,,,,,,,,,,,,,,,,,
"""I've been going to the bathroom constantly since I ate that chicken""",Salmonellosis (non-typhoidal),,,,,,,,,,,,,,,,,,,,,,,,
